survey	contact_type	part_age	cont_age	m_est
baseline	all	[0,10)	[0,10)	8.917394773115547
baseline	all	[0,10)	[10,20)	2.2942762037228674
baseline	all	[0,10)	[20,30)	1.7021664755708297
baseline	all	[0,10)	[30,40)	2.183460683771756
baseline	all	[0,10)	[40,50)	1.9057994911398968
baseline	all	[0,10)	[50,60)	1.1207426072806217
baseline	all	[0,10)	[60,70)	0.6455927149967232
baseline	all	[0,10)	[70,80)	0.24252876348908012
baseline	all	[0,10)	[80,Inf]	0.07418294404845176
baseline	all	[10,20)	[0,10)	2.050461360600627
baseline	all	[10,20)	[10,20)	11.05169742350358
baseline	all	[10,20)	[20,30)	2.950189148987701
baseline	all	[10,20)	[30,40)	1.8828903157591876
baseline	all	[10,20)	[40,50)	2.4101624137447337
baseline	all	[10,20)	[50,60)	1.6357557499957727
baseline	all	[10,20)	[60,70)	0.6735120904411268
baseline	all	[10,20)	[70,80)	0.2622960833678044
baseline	all	[10,20)	[80,Inf]	0.09388855216036242
baseline	all	[20,30)	[0,10)	1.4220786734084518
baseline	all	[20,30)	[10,20)	2.7577905678622003
baseline	all	[20,30)	[20,30)	5.364508627402883
baseline	all	[20,30)	[30,40)	2.705696203185871
baseline	all	[20,30)	[40,50)	2.440113500813757
baseline	all	[20,30)	[50,60)	2.014612003241047
baseline	all	[20,30)	[60,70)	0.8878087613371188
baseline	all	[20,30)	[70,80)	0.35080229195087864
baseline	all	[20,30)	[80,Inf]	0.2291861824091496
baseline	all	[30,40)	[0,10)	1.9185007311243303
baseline	all	[30,40)	[10,20)	1.8511088795106467
baseline	all	[30,40)	[20,30)	2.8456043147680052
baseline	all	[30,40)	[30,40)	4.149981341126285
baseline	all	[30,40)	[40,50)	2.972210851517199
baseline	all	[30,40)	[50,60)	1.999249511504641
baseline	all	[30,40)	[60,70)	1.0353138932000872
baseline	all	[30,40)	[70,80)	0.425323703045897
baseline	all	[30,40)	[80,Inf]	0.26014452744666205
baseline	all	[40,50)	[0,10)	1.4569684696314484
baseline	all	[40,50)	[10,20)	2.0616475826331335
baseline	all	[40,50)	[20,30)	2.2328795516829634
baseline	all	[40,50)	[30,40)	2.5860942437523833
baseline	all	[40,50)	[40,50)	4.043312407632131
baseline	all	[40,50)	[50,60)	2.2304746414596806
baseline	all	[40,50)	[60,70)	1.0615706282071757
baseline	all	[40,50)	[70,80)	0.5004725372142034
baseline	all	[40,50)	[80,Inf]	0.24820988137665528
baseline	all	[50,60)	[0,10)	0.8163576951225586
baseline	all	[50,60)	[10,20)	1.3331820272658854
baseline	all	[50,60)	[20,30)	1.7564939762064062
baseline	all	[50,60)	[30,40)	1.6574291153394278
baseline	all	[50,60)	[40,50)	2.125208442681453
baseline	all	[50,60)	[50,60)	2.729186834113653
baseline	all	[50,60)	[60,70)	1.3318856900897724
baseline	all	[50,60)	[70,80)	0.5844373346227905
