"","beta","lnlike_t1","lnlike_t2","lnlike_t3","lnlike_t4"
"1",1e-05,-890428.197479212,-488529.742432446,-695211.674225675,-6236265.0389516
"2",2e-05,-811199.337521941,-487558.75257571,-694598.81927369,-6214244.34992048
"3",3e-05,-748946.18333497,-486600.788993453,-693992.009032328,-6193568.43471099
"4",4e-05,-696092.713872516,-485655.027394248,-693391.469396477,-6174479.80622615
"5",5e-05,-649429.496834052,-484721.15123019,-692796.734796044,-6156419.37716823
"6",6e-05,-607244.927146003,-483798.975456625,-692207.558656309,-6139606.07908621
"7",7e-05,-568500.123372206,-482887.927772545,-691624.03765317,-6123366.3425832
"8",8e-05,-532509.237430739,-481987.748673459,-691046.091983421,-6107578.25804075
"9",9e-05,-498792.725400131,-481098.158446613,-690473.38660587,-6092676.03118136
"10",1e-04,-467000.823282128,-480218.648761773,-689905.821239753,-6078405.42389269
"11",0.00011,-436869.380342306,-479349.001242372,-689343.266377223,-6064522.22785272
"12",0.00012,-408194.58358688,-478489.052587333,-688785.84793717,-6050881.50377084
"13",0.00013,-380815.96983269,-477638.303222597,-688233.238251588,-6037948.3705469
"14",0.00014,-354605.710166161,-476796.723980728,-687685.489721015,-6025264.31925469
"15",0.00015,-329460.956724117,-475964.029028069,-687142.156335966,-6012961.32491751
"16",0.00016,-305298.856315498,-475139.884386564,-686603.622557304,-6001002.27878862
"17",0.00017,-282052.557106351,-474323.909590473,-686069.183871954,-5989510.96275719
"18",0.00018,-259669.015382674,-473516.303154411,-685539.381627628,-5978034.66279545
"19",0.00019,-238106.722275026,-472716.698583464,-685013.764624215,-5966978.92224416
"20",2e-04,-217334.760239096,-471924.643463699,-684492.336103021,-5955947.49559946
"21",0.00021,-197331.720435235,-471140.141828775,-683974.926246623,-5945354.78083469
"22",0.00022,-178085.270704262,-470363.071554227,-683461.505112255,-5934885.53835356
"23",0.00023,-159591.917542797,-469593.113592109,-682952.156986495,-5924634.24339556
"24",0.00024,-141857.071494184,-468830.160617639,-682446.437201975,-5914640.19062842
"25",0.00025,-124895.224781366,-468073.774232085,-681944.617618816,-5904798.77387414
"26",0.00026,-108730.479559224,-467324.340003042,-681446.443817204,-5895103.33432465
"27",0.00027,-93397.1814776008,-466581.401296248,-680952.00351766,-5885580.15372808
"28",0.00028,-78940.7802594567,-465844.680654832,-680461.008055047,-5876249.43446176
"29",0.00029,-65418.841044458,-465114.443529757,-679973.596433277,-5866966.9602777
"30",3e-04,-52902.3373276571,-464390.280444904,-679489.493231434,-5857874.17206237
"31",0.00031,-41476.9246309993,-463671.91090223,-679009.003098604,-5848974.13363562
"32",0.00032,-31244.5884308516,-462959.602087195,-678531.614106931,-5840186.57658326
"33",0.00033,-22325.2433773917,-462252.870783272,-678057.468978271,-5831547.83197141
"34",0.00034,-14858.4809652691,-461551.705777866,-677586.5873943,-5822895.88070369
"35",0.00035,-9005.37788681146,-460856.073073035,-677118.778521118,-5814492.65023158
"36",0.00036,-4950.14466057546,-460165.750287737,-676654.156335338,-5806139.02436014
"37",0.00037,-2901.66113197923,-459480.714336982,-676192.515993797,-5798005.53988888
"38",0.00038,-3094.65161884754,-458801.004550443,-675733.78686407,-5789815.00345658
"39",0.00039,-5790.33791385862,-458126.259367555,-675278.20589025,-5781852.34789295
"40",4e-04,-11276.3141446786,-457456.361704183,-674825.275899761,-5773936.31337215
"41",0.00041,-19865.3845576426,-456791.423043608,-674375.012664496,-5766098.35934335
"42",0.00042,-31893.086327113,-456131.180033341,-673927.830116225,-5758312.84519048
"43",0.00043,-47713.4624761353,-455475.677279206,-673483.346802661,-5750683.39424127
"44",0.00044,-67692.8428945231,-454824.746329217,-673041.6352493,-5743150.36396601
"45",0.00045,-92201.4995220641,-454178.258590004,-672602.326362174,-5735672.04018622
"46",0.00046,-121602.69941369,-453536.254722145,-672165.913280348,-5728201.59065001
"47",0.00047,-156239.370041302,-452898.724477579,-671732.003719223,-5720897.94017595
"48",0.00048,-196418.74052106,-452265.266639297,-671300.675340698,-5713637.95263156
"49",0.00049,-242395.178052118,-451636.154581013,-670871.715986501,-5706488.99815751
"50",5e-04,-294352.190367199,-451011.169818176,-670445.382714384,-5699365.76310164
