sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
1,21,3465.530630203274,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,22,3087.730687959599,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,23,2717.1762932765755,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,24,2383.3135685113984,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,25,2090.230523896936,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,26,1839.8540091246841,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,27,1632.3588695870349,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,28,1466.6164632225295,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,29,1340.9488573469732,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,30,1253.9687520131495,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,31,1204.6834644145654,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,32,1194.5892570630385,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,33,1229.8077267844044,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,34,1320.9630406148526,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,35,1486.8977071877453,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,36,1760.0745957470897,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,37,2198.4036012321976,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,38,2884.0010141053576,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,39,3904.733646774191,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,40,5452.132084445917,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,41,7850.6338992855635,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,42,11632.312299957131,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,43,17666.409198073103,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,44,27393.202968106096,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,45,43099.459296171844,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,46,68107.24918788591,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,47,106555.67543759296,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,48,161815.53853005727,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,49,232227.83648736146,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,50,305408.6171864087,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,51,358156.08573377895,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,52,369127.7145333212,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,1,335818.07277786953,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,2,275551.19593275833,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,3,210339.5747687606,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,4,154248.87925559253,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,5,111772.26193653158,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,6,81818.39794475368,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,7,61462.825708890094,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,8,47854.681641726514,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,9,38806.97335192743,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,10,32803.005928007406,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,11,28835.339681151738,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,12,26241.40915339657,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,13,24579.320054585492,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,14,23544.40648589303,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,15,22916.819798652778,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,16,22530.65649024659,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,17,22257.46218855149,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,18,21998.866861447434,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,19,21684.306902953966,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,20,21270.62494889198,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,21,3201.8784005139787,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,22,2387.291869410878,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,23,1746.748100605883,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,24,1271.458735937338,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,25,925.1720598945319,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,26,675.83328232626,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,27,497.82303797377136,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,28,371.4859201020008,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,29,282.1842154370988,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,30,219.2770454677183,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,31,175.18705036585175,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,32,144.6239451379324,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,33,123.98198171454546,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,34,110.90198253336473,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,35,103.90926868481823,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,36,102.27407834006173,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,37,106.41727358728001,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,38,116.51260338898435,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,39,131.76766016782727,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,40,153.73626122995364,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,41,184.97837256130745,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,42,229.3049752522488,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,43,292.4926355818804,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,44,383.2624920162558,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,45,514.9299912562411,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,46,707.7150070973411,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,47,992.3760540338484,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,48,1416.1221539535854,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,49,2049.2925459056287,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,50,2997.07600253663,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,51,4413.678373577586,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
